Id,Loan_Status
96463,Fully Paid
80131,Charged Off
59734,Fully Paid
36176,Fully Paid
14703,Fully Paid
85537,Fully Paid
69429,Fully Paid
21360,Fully Paid
43543,Fully Paid
70579,Fully Paid
50462,Fully Paid
37450,Fully Paid
21580,Fully Paid
70774,Fully Paid
5036,Fully Paid
91086,Fully Paid
93319,Fully Paid
48928,Fully Paid
21529,Fully Paid
32098,Fully Paid
41598,Fully Paid
15605,Fully Paid
45665,Fully Paid
50167,Fully Paid
16394,Fully Paid
32698,Charged Off
790,Fully Paid
67693,Fully Paid
22331,Fully Paid
69584,Fully Paid
70979,Fully Paid
64007,Fully Paid
60276,Fully Paid
24777,Fully Paid
53868,Fully Paid
37406,Fully Paid
70792,Fully Paid
99806,Fully Paid
59894,Fully Paid
85277,Fully Paid
84069,Fully Paid
18613,Fully Paid
51572,Charged Off
75004,Charged Off
16993,Fully Paid
94843,Fully Paid
59637,Fully Paid
71901,Fully Paid
38660,Fully Paid
95415,Fully Paid
91300,Fully Paid
5879,Fully Paid
77220,Fully Paid
65131,Fully Paid
4779,Fully Paid
75650,Fully Paid
5214,Fully Paid
25804,Fully Paid
30541,Charged Off
50005,Fully Paid
19028,Fully Paid
91604,Fully Paid
45417,Fully Paid
27402,Fully Paid
34400,Fully Paid
84570,Fully Paid
85954,Fully Paid
83017,Fully Paid
27544,Fully Paid
5814,Fully Paid
68340,Fully Paid
88306,Fully Paid
86287,Fully Paid
30243,Fully Paid
33212,Fully Paid
11806,Fully Paid
82049,Fully Paid
65311,Fully Paid
59400,Fully Paid
52878,Fully Paid
78117,Fully Paid
48335,Fully Paid
9300,Fully Paid
90356,Fully Paid
83121,Fully Paid
43153,Fully Paid
33606,Fully Paid
25344,Fully Paid
8712,Fully Paid
85154,Charged Off
23166,Fully Paid
12390,Fully Paid
45492,Fully Paid
22360,Fully Paid
80782,Fully Paid
48209,Fully Paid
47116,Fully Paid
9418,Fully Paid
41440,Fully Paid
14020,Fully Paid
82646,Fully Paid
21121,Fully Paid
6496,Fully Paid
71601,Fully Paid
92451,Fully Paid
20239,Fully Paid
6666,Fully Paid
90323,Fully Paid
55187,Fully Paid
66932,Fully Paid
7050,Fully Paid
64451,Fully Paid
77165,Fully Paid
78083,Fully Paid
89143,Fully Paid
72362,Fully Paid
20623,Fully Paid
82031,Fully Paid
12,Fully Paid
4372,Fully Paid
84816,Fully Paid
14878,Fully Paid
33379,Fully Paid
51483,Fully Paid
77204,Fully Paid
66533,Fully Paid
17093,Fully Paid
81235,Fully Paid
64346,Fully Paid
64673,Fully Paid
9701,Fully Paid
83094,Fully Paid
47459,Fully Paid
68259,Fully Paid
84309,Fully Paid
7109,Fully Paid
32311,Fully Paid
68407,Fully Paid
55609,Fully Paid
10597,Fully Paid
